NAF 1993 -, Niveau 17 - Liste des sections
Code,Libellé
A,"Agriculture, chasse, sylviculture"
B,"Pêche, aquaculture"
C,Industries extractives
D,Industrie manufacturière
E,"Production et distribution d'électricité, de gaz et d'eau"
F,Construction
G,Commerce ; réparations automobile et d'articles domestiques
H,Hôtels et restaurants
I,Transports et communications
J,Activités financières
K,"Immobilier, location et services aux entreprises"
L,Administration publique
M,Education
N,Santé et action sociale
O,"Services collectifs, sociaux et personnels"
P,Services domestiques
Q,Activités extra-territoriales
